action1,action2,action3
0.046951324,2.1473606,1.9033605
-0.1500153,1.574049,1.798001
0.07759458,1.591366,1.7147862
0.088525206,1.323495,1.6481153
0.06475508,0.96685755,1.6108962
0.04399985,0.56988055,1.5785757
0.020525753,0.20611349,1.509177
-0.20873499,0.61480665,0.8548119
-0.26550215,0.8125775,0.19277042
-0.108807266,1.0480709,-0.37766084
0.012275815,1.1622326,-0.700546
0.087527215,1.2278116,-0.81570446
0.10301177,1.2637105,-0.7627591
0.084098876,1.2857378,-0.60398173
0.051255018,1.2954675,-0.41135278
0.025076836,1.283102,-0.23707613
0.0073371828,1.2382724,-0.10010874
-0.0039126575,1.1601616,0.00019714236
-0.0104007125,1.0537671,0.07013109
-0.012912065,0.9256189,0.116824985
-0.009016037,0.783805,0.14633982
-0.008596718,0.6335485,0.1625077
-0.033091694,0.7262535,0.34582633
-0.044552475,0.9586345,0.63490856
-0.027984738,1.0300716,0.82086384
-0.01815942,0.99189484,0.9473212
-0.012768805,0.8940337,1.0422068
-0.008549035,0.76745796,1.1220206
-0.0060637295,0.6246569,1.1958487
-0.004518509,0.47203255,1.2679343
0.08318603,0.38032466,1.2730908
0.09984797,0.2443614,1.2064543
0.028777719,0.071086794,1.1407921
0.007715285,-0.028664619,1.0680565
0.042824388,-0.027551621,0.9954027
0.028648734,-0.0673891,0.93750286
0.04930818,-0.049360394,0.8895519
0.027567923,-0.0757243,0.85859025
0.04316634,-0.052301288,0.8373244
0.019776464,-0.073436946,0.83120966
0.03468144,-0.048464,0.8324311
0.011518419,-0.0680621,0.84610105
0.027623743,-0.04254204,0.8638015
0.004709542,-0.062520415,0.8913671
0.02293551,-0.03613633,0.9194802
-0.0006303787,-0.057703257,0.9555335
0.020386457,-0.029530823,0.9887905
-0.0051697493,-0.05369723,1.0288888
0.019495487,-0.02234006,1.0633714
-0.009749532,-0.050114304,1.1046067
0.01951325,-0.014768422,1.1368403
-0.014861405,-0.047172695,1.1756421
0.020222634,-0.0069377124,1.202088
-0.020683259,-0.04405749,1.2351415
0.02088502,0.0012772083,1.2527404
-0.02720946,-0.03930822,1.2763394
0.020266652,0.009835318,1.281977
-0.033905208,-0.030943513,1.2914425
0.016613692,0.018739477,1.2815422
-0.039824814,-0.01690051,1.2710805
0.008030534,0.02867797,1.2410519
-0.044373274,0.004087448,1.2040116
-0.0065184236,0.041706875,1.1474764
-0.048561692,0.031922072,1.076441
-0.026360452,0.06115757,0.9843861
-0.055603713,0.066043004,0.8703097
-0.049646676,0.09084165,0.73148537
-0.06990519,0.10751042,0.56285524
-0.077418834,0.13311118,0.3601718
-0.15985832,0.17671916,0.14629586
-0.22782439,0.24642125,-0.060343504
-0.22705966,0.29485136,-0.29874477
-0.23148191,0.29501402,-0.5600389
-0.20779753,0.27754268,-0.82366514
-0.17040062,0.31776837,-0.99325955
-0.18665653,0.37267497,-1.1002226
-0.22209042,0.41915646,-1.2166125
-0.24715322,0.45943943,-1.3586564
-0.25831324,0.4701657,-1.5245321
-0.23791957,0.43312344,-1.7013478
-0.17868507,0.33046088,-1.8694214
-0.08073327,0.15925983,-2.016274
0.046756446,-0.06972909,-2.1407948
0.19220152,-0.3365874,-2.2530816
0.34474504,-0.62115574,-2.3698635
0.49696374,-0.9108362,-2.5074906
0.6477474,-1.2065022,-2.6755404
0.7038231,-1.5839131,-2.7829204
0.7091253,-1.969867,-2.871872
0.7206773,-2.3301477,-2.9739661
0.72226554,-2.6364853,-3.0549982
0.70084447,-2.8603017,-3.09021
0.6592877,-2.9987776,-3.057407
0.594847,-3.0481982,-2.9302711
0.49941596,-2.999688,-2.6861284
0.33747065,-2.805861,-2.2784595
0.052426934,-2.3602774,-1.6308528
-0.20144457,-1.8418343,-0.8919152
-0.53545004,-0.92606914,0.03456214
-0.39335603,0.31806156,0.4455679
-0.4130168,1.464769,0.7298739
-0.5587352,2.1393323,0.9766828
-0.52057034,2.3455446,1.1416006
-0.44214767,2.3709784,1.1728642
-0.37399954,2.2012355,1.0682833
-0.3231632,1.8130519,0.83987606
